service-java-1  | 2026-09-08T10:51:26.452+08:00  INFO 1 --- [service-java] [w-auto-manage-1] c.w.s.i.WorkflowModelUploadStateService  : Marked workflow model upload as decrypting: uploadId=42
service-java-1  | 2026-09-08T10:51:26.456+08:00  INFO 1 --- [service-java] [w-auto-manage-1] c.w.s.i.WorkflowAutoManageStatusService  : Updated workflow current step: workflowId=35, triggerSource=decrypt-download, currentStep=正在下载模型, clearErrorMessage=true
service-java-1  | 2026-09-08T10:51:26.457+08:00  INFO 1 --- [service-java] [w-auto-manage-1] c.w.s.i.WorkflowModelUploadServiceImpl   : Starting server model download: workflowId=35, uploadId=42, workflowCode=WF202609081050043916, originalFilename=weights.pt, encryptedFilePath=/opt/workflow-platform/storage/model-uploads/35/encrypted/v1_42_weights.pt.enc
service-java-1  | 2026-09-08T10:51:26.477+08:00  INFO 1 --- [service-java] [w-auto-manage-1] c.w.s.i.WorkflowModelUploadServiceImpl   : Server model download finished: workflowId=35, uploadId=42, encryptedBytes=6162192
service-java-1  | 2026-09-08T10:51:26.479+08:00  INFO 1 --- [service-java] [w-auto-manage-1] c.w.s.i.WorkflowAutoManageStatusService  : Updated workflow current step: workflowId=35, triggerSource=decrypt-start, currentStep=正在反洗牌解密, clearErrorMessage=true
service-java-1  | 2026-09-08T10:51:26.481+08:00  INFO 1 --- [service-java] [w-auto-manage-1] c.w.s.i.WorkflowModelUploadServiceImpl   : Starting server model decrypt: workflowId=35, uploadId=42, workflowCode=WF202609081050043916, originalFilename=weights.pt, encryptedFilePath=/opt/workflow-platform/storage/model-uploads/35/encrypted/v1_42_weights.pt.enc
service-java-1  | 2026-09-08T10:51:26.606+08:00  INFO 1 --- [service-java] [w-auto-manage-1] com.workflow.config.RestTemplateConfig   : pythonJsonRestTemplate outbound request: method=POST, uri=http://service-python:8000/internal/model-packages/validate-upload, headers=[Accept:"application/json, application/*+json", Content-Type:"application/json", Content-Length:"4201"], bodyBytes=4201, body={"weightsPath":"/opt/workflow-platform/storage/tmp/weights-v1-quarantine/35/42/weights.pt","descriptor":{"schemaVersion":"1.0","descriptorVersion":"1.0","modelFamily":"YOLO","version":"YOLOv8","variant":"yolov8n","taskType":"DETECTION","framework":{"name":"Ultralytics","version":"8.4.41"},"modelDefinition":{"definitionId":"YOLOV8N_SHEEP_V1","definitionSha256":"302bbb5e00b03c3a14eabf316be8cdc5bbbd5e0de235c28a7a6cb0b491a22cd2"},"classes":{"count":1,"order":["sheep"],"ignoreIndex":null},"stateContract":{"keyCount":355,"tensorCount":355,"elementCount":3021500,"stateDictKeyHash":"f21d8c0bab8d5e06632ff1f14d51e650345a27b7415e2df7cefee28de36549b9","shapeSignature":"50442f14853a312be62f5fa1532ec162b4681694741f902b3581a0ba04071460","clientDtypeSignature":"0a40e58c4e1f24f7d0715ca8bd652573b9c67465500198ccef895da6a1496616"},"parameterSemantics":"EMA_SNAPSHOT","inputSpec":{"channels":3,"imageSize":640,"layout":"BCHW"},"preprocessing":{"implementation":"Ultralytics","resize":"LetterBox","colorConversion":"OpenCV BGR to RGB","layout":"BHWC to BCHW","normalization":"divide by 255 to [0,1]"},"runtimeRequirements":{"runtimeProfileId":"YOLO_RUNTIME_V1"},"extensions":{"architectureSignature":"2510fa3d9b145fe4cc5072bca168770b7989c291729a967fb9b75717cd9db74a"}},"trustedModelDefinition":{"code":"YOLOV8N_SHEEP_V1","status":"ENABLED","variant":"yolov8n","version":"YOLOv8","taskType":"DETECTION","framework":"Ultralytics","inputSpec":{"layout":"BCHW","channels":3,"imageSize":640},"classCount":1,"classOrder":["sheep"],"displayName":"YOLOv8n 羊群检测","ignoreIndex":null,"modelFamily":"YOLO","definitionId":"YOLOV8N_SHEEP_V1","schemaVersion":"1.0","definitionType":"ULTRALYTICS_DETECTION_MODEL","definitionSha256":"302bbb5e00b03c3a14eabf316be8cdc5bbbd5e0de235c28a7a6cb0b491a22cd2","frameworkVersion":"8.4.41","runtimeProfileId":"YOLO_RUNTIME_V1","definitionPayload":{"imgsz":640,"names":{"0":"sheep"},"stride":[8,16,32],"architecture":{"ch":3,"nc":1,"head":[[-1,1,"nn.Upsample",["None",2,"nearest"]],[[-1,6],1,"Concat",[1]],[-1,3,"C2f",[512]],[-1,1,"nn.Upsample",["None",2,"nearest"]],[[-1,4],1,"Concat",[1]],[-1,3,"C2f",[256]],[-1,1,"Conv",[256,3,2]],[[-1,12],1,"Concat",[1]],[-1,3,"C2f",[512]],[-1,1,"Conv",[512,3,2]],[[-1,9],1,"Concat",[1]],[-1,3,"C2f",[1024]],[[15,18,21],1,"Detect",["nc"]]],"backbone":[[-1,1,"Conv",[64,3,2]],[-1,1,"Conv",[128,3,2]],[-1,3,"C2f",[128,true]],[-1,1,"Conv",[256,3,2]],[-1,6,"C2f",[256,true]],[-1,1,"Conv",[512,3,2]],[-1,6,"C2f",[512,true]],[-1,1,"Conv",[1024,3,2]],[-1,3,"C2f",[1024,true]],[-1,1,"SPPF",[1024,5]]],"channels":3,"depth_multiple":0.33,"width_multiple":0.25},"inputChannels":3,"preprocessing":{"layout":"BHWC to BCHW","resize":"LetterBox","normalization":"divide by 255 to [0,1]","implementation":"Ultralytics","colorConversion":"OpenCV BGR to RGB"},"trustedSource":{"type":"EXPERIMENT_VERIFIED_HANDOFF","phase1":"PASS","phase2":"PASS"},"parameterSemantics":"EMA_SNAPSHOT"},"definitionVersion":"1.0","architectureSignature":"2510fa3d9b145fe4cc5072bca168770b7989c291729a967fb9b75717cd9db74a"},"manifest":{"schemaVersion":"1.0","weightsFormatVersion":"1.0","packageId":"b35f140a-2f8c-498d-a73d-6f29845df26d","artifactType":"CLIENT_WEIGHTS","descriptorSha256":"c7bc0ca78378098836a430ac0eb4bc061c2343b9dfe09fa402a4ba28dc44bb26","modelDefinition":{"definitionId":"YOLOV8N_SHEEP_V1","definitionSha256":"302bbb5e00b03c3a14eabf316be8cdc5bbbd5e0de235c28a7a6cb0b491a22cd2"},"architectureSignature":"2510fa3d9b145fe4cc5072bca168770b7989c291729a967fb9b75717cd9db74a","parameterSemantics":"EMA_SNAPSHOT","weights":{"format":"PYTORCH_STATE_DICT","wrapperKey":"state_dict","fileName":"weights.pt","sizeBytes":6162182,"sha256":"5db9946f132b65665f5276071882cb9c452a4ee39caafaaccc265090c0da9486"},"state":{"keyCount":355,"tensorCount":355,"elementCount":3021500,"stateDictKeyHash":"f21d8c0bab8d5e06632ff1f14d51e650345a27b7415e2df7cefee28de36549b9","shapeSignature":"50442f14853a312be62f5fa1532ec162b4681694741f902b3581a0ba04071460","dtypeSignature":"0a40e58c4e1f24f7d0715ca8bd652573b9c67465500198ccef895da6a1496616","dtypeCounts":{"float16":298,"int64":57}},"aggregationContribution":1,"createdBy":{"type":"TRUSTED_LOCAL_PACKAGING_TOOL","name":"stage3-manual-client-b"}}}
service-java-1  | 2026-09-08T10:51:26.868+08:00  INFO 1 --- [service-java] [w-auto-manage-1] com.workflow.config.RestTemplateConfig   : pythonJsonRestTemplate inbound response: method=POST, uri=http://service-python:8000/internal/model-packages/validate-upload, statusCode=200 OK, headers=[date:"Tue, 08 Sep 2026 02:51:25 GMT", server:"uvicorn", content-length:"2408", content-type:"application/json"], body={"passed":true,"reasonCode":"AVAILABLE","message":"Weights package matches the trusted ModelDefinition.","inspection":{"passed":true,"errors":[],"warnings":[],"weightsSha256":"5db9946f132b65665f5276071882cb9c452a4ee39caafaaccc265090c0da9486","manifestSha256":"9e862f6e37beff6a49698d599a5b865e9bd2518cf8ada57bba7d7f9739c4f572","descriptorSha256":"c7bc0ca78378098836a430ac0eb4bc061c2343b9dfe09fa402a4ba28dc44bb26","keyCount":355,"tensorCount":355,"elementCount":3021500,"stateDictKeyHash":"f21d8c0bab8d5e06632ff1f14d51e650345a27b7415e2df7cefee28de36549b9","shapeSignature":"50442f14853a312be62f5fa1532ec162b4681694741f902b3581a0ba04071460","dtypeSignature":"0a40e58c4e1f24f7d0715ca8bd652573b9c67465500198ccef895da6a1496616","dtypeCounts":{"float16":298,"int64":57},"floatingTensorCount":298,"nonFloatingTensorCount":57,"nanElements":0,"positiveInfElements":0,"negativeInfElements":0,"sizeBytes":6162182,"checks":[{"name":"schema-version","passed":true,"code":null,"message":"passed"},{"name":"artifact-type","passed":true,"code":null,"message":"passed"},{"name":"weights-format","passed":true,"code":null,"message":"passed"},{"name":"descriptor-sha256","passed":true,"code":null,"message":"passed"},{"name":"model-definition-reference","passed":true,"code":null,"message":"passed"},{"name":"parameter-semantics","passed":true,"code":null,"message":"passed"},{"name":"class-contract","passed":true,"code":null,"message":"passed"},{"name":"weights-file-name","passed":true,"code":null,"message":"passed"},{"name":"weights-size","passed":true,"code":null,"message":"passed"},{"name":"weights-sha256","passed":true,"code":null,"message":"passed"},{"name":"key-count","passed":true,"code":null,"message":"passed"},{"name":"tensor-count","passed":true,"code":null,"message":"passed"},{"name":"element-count","passed":true,"code":null,"message":"passed"},{"name":"key-signature","passed":true,"code":null,"message":"passed"},{"name":"shape-signature","passed":true,"code":null,"message":"passed"},{"name":"dtype-signature","passed":true,"code":null,"message":"passed"},{"name":"dtype-counts","passed":true,"code":null,"message":"passed"}]},"compatibility":{"compatible":true,"reasonCode":"AVAILABLE","message":"Weights state contract matches the architecture-only YOLO model.","expectedTensorCount":355,"actualTensorCount":355,"missingKeyCount":0,"unexpectedKeyCount":0,"shapeMismatchCount":0,"dtypeMismatchCount":0}}
service-java-1  | 2026-09-08T10:51:26.957+08:00  INFO 1 --- [service-java] [w-auto-manage-1] c.w.s.impl.WeightsProtocolUploadService  : Weights Protocol v1 upload accepted: workflowId=35, modelDefinitionId=1, uploadId=42, assetId=72, shaPrefix=5db9946f132b
service-java-1  | 2026-09-08T10:51:26.960+08:00  INFO 1 --- [service-java] [w-auto-manage-1] c.w.s.i.WorkflowAutoManageStatusService  : Refreshed workflow auto-manage status: workflowId=35, triggerSource=weights-v1-success, requiredModelCount=2, completedModelCount=2, failedUploadCount=0, currentStep=权重检查完成，等待联邦聚合
